Note,"Commission regulations permit non-US-based NVOCCs to be licensed or unlicensed (See 46 CFR 515.11, 46 CFR 515.21, also Ocean Transportation Intermediary FAQs available on the Commission website under the FAQ and Notices button). On this listing, unlicensed non-US-based NVOCCs are designated with ** in the License No. field. Licensed non-US-based NVOCCs are included in this list with their license number in the License No. field."
Federal Maritime Commission,
Ocean Transportation Intermediaries (OTI) List,
Org. No.,Lic. No.,Renewal,NAME,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,China Bond Rider Effective Date,Latitude,Longitude
012298,012298,8/31/2022 12:00:00 AM,CROSSWINDS INTERNATIONAL INC.,"138 LOMITA STREET EL SEGUNDO, CA 90245 UNITED STATES",N/A,138 LOMITA STREET,,EL SEGUNDO,CA,90245,UNITED STATES,(310) 216-4286,,33.91754,-118.4074
025023,025023,3/31/2023 12:00:00 AM,"CROWN WORLDWIDE MOVING AND STORAGE, LLC","14826 WICKS BLVD. SAN LEANDRO, CA 94577 UNITED STATES",CROWN WORLDWIDE MOVING & STORAGE COMPANY,14826 WICKS BLVD.,,SAN LEANDRO,CA,94577,UNITED STATES,(510) 773-0150,,37.72047,-122.1587
026574,026574,4/30/2025 12:00:00 AM,CROWNFU LOGISTICS INC,"1013 SEQUOIA PLACE MONTEBELLO, CA 90640 UNITED STATES",N/A,1013 SEQUOIA PLACE,,MONTEBELLO,CA,90640,UNITED STATES,(626) 757-0797,,34.01334,-118.113
028252,028252,2/28/2024 12:00:00 AM,CS GLOBAL LOGISTICS LLC,"27980 S. WESTERN AVENUE SUITE 313 SAN PEDRO, CA 90732 UNITED STATES",EXTENDED GLOBAL FREIGHT,27980 S. WESTERN AVENUE,SUITE 313,SAN PEDRO,CA,90732,UNITED STATES,(310) 483-0442,,33.74495,-118.3106
027775,027775,5/31/2025 12:00:00 AM,CSCL GLOBAL LIMITED,"6800 GATEWAY PARK DRIVE SAN DIEGO, CA 92154 UNITED STATES",N/A,6800 GATEWAY PARK DRIVE,,SAN DIEGO,CA,92154,UNITED STATES,(818) 518-8311,,32.57528,-117.0707
012032,004650,10/31/2024 12:00:00 AM,CSL GROUP INC.,"17523 SOUTH SUSANA ROAD RANCHO DOMINGUEZ, CA 90221 UNITED STATES",CSL EXPRESS LINE,17523 SOUTH SUSANA ROAD,,RANCHO DOMINGUEZ,CA,90221,UNITED STATES,(310) 436-1340,,33.87226,-118.2076
022123,022123,3/31/2023 12:00:00 AM,CSLL LOGISTICS INC.,"17800 CASTLETON STREET, SUITE 550 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,"17800 CASTLETON STREET, SUITE 550",,CITY OF INDUSTRY,CA,91748,UNITED STATES,(626) 986-4241,,34.09731,-118.0913
026380,026380,10/31/2022 12:00:00 AM,CST INTERNATIONAL GROUP INC.,"273 W. RALPH STREET SAN GABRIEL, CA 91776 UNITED STATES",N/A,273 W. RALPH STREET,,SAN GABRIEL,CA,91776,UNITED STATES,(626) 616-8088,,34.08903,-118.0955
018622,018622,2/28/2023 12:00:00 AM,CTC LOGISTICS (L.A.) INC.,"3035 EAST HARCOURT STREET RANCHO DOMINGUEZ, CA 90221 UNITED STATES",N/A,3035 EAST HARCOURT STREET,,RANCHO DOMINGUEZ,CA,90221,UNITED STATES,(310) 417-9988,,33.85886,-118.2984
024004,024004,4/30/2025 12:00:00 AM,"CTL LAX, INC.","4281 KATELLA AVENUE SUITE 200 LOS ALAMITOS, CA 90720 UNITED STATES",N/A,4281 KATELLA AVENUE,SUITE 200,LOS ALAMITOS,CA,90720,UNITED STATES,(714) 827-1668,,33.8036,-118.0582
012105,012105,5/31/2025 12:00:00 AM,CTL MARITIME (USA) INC.,"317 S. ISIS AVENUE SUITE 105 INGLEWOOD, CA 90301 UNITED STATES",N/A,317 S. ISIS AVENUE,SUITE 105,INGLEWOOD,CA,90301,UNITED STATES,3106493898,,33.95933,-118.3758
018497,003568,8/31/2024 12:00:00 AM,"CTSI LOGISTICS, INC.","1957 E. GLADWICK STREET RANCHO DOMINGUEZ, CA 90220 UNITED STATES",N/A,1957 E. GLADWICK STREET,,RANCHO DOMINGUEZ,CA,90220,UNITED STATES,(310) 755-6300,,33.8551,-118.3014
022215,016350,10/31/2024 12:00:00 AM,CU LOGISTICS INC.,"19895 HARRISON AVENUE CITY OF INDUSTRY, CA 91789 UNITED STATES",CU CONTAINER LINE INC.,19895 HARRISON AVENUE,,CITY OF INDUSTRY,CA,91789,UNITED STATES,(626) 347-0850,11/23/2012 12:00:00 AM,34.00429,-117.8655
026874,026874,4/30/2025 12:00:00 AM,"CUSTODIA FREIGHT SERVICES, INC.","155 N LAKE AVENUE STE 800 PASADENA, CA 91101 UNITED STATES",N/A,155 N LAKE AVENUE,STE 800,PASADENA,CA,91101,UNITED STATES,(626) 765-6053,,34.14676,-118.1391
025058,025058,8/31/2024 12:00:00 AM,"D & P WHOLESALE & DISTRIBUTORS, INC.","3426 WEST HARVARD STREET SANTA ANA, CA 92704 UNITED STATES",BLUE SEA CARGO & LOGISTICS,3426 WEST HARVARD STREET,,SANTA ANA,CA,92704,UNITED STATES,(310) 908-0878,,33.72651,-117.9047
025595,025595,5/31/2025 12:00:00 AM,"D&C INTERNATIONAL LOGISTICS CO., LTD.","1317 DIAMOND BAR BLVD. SUITE 5695 DIAMOND BAR, CA 91765 UNITED STATES",N/A,1317 DIAMOND BAR BLVD.,SUITE 5695,DIAMOND BAR,CA,91765,UNITED STATES,(626) 590-1810,,34.00658,-117.8098
031279,026526,6/30/2023 12:00:00 AM,"DAEHAN STEEL AMERICA, INC.","1 POINTE DR. SUITE 325 BREA, CA 92821 UNITED STATES",N/A,1 POINTE DR.,SUITE 325,BREA,CA,92821,UNITED STATES,(714) 990-4000,,33.9252,-117.8895
005627,002764,4/30/2024 12:00:00 AM,DANIEL H. CHEUNG,"436 N. CANAL STREET UNIT 14 SO. SAN FRANCISCO, CA 94080 UNITED STATES",ACE CONTAINER LINE,436 N. CANAL STREET,UNIT 14,SO. SAN FRANCISCO,CA,94080,UNITED STATES,(650) 952-2502,,37.65254,-122.4156
021069,021069,9/30/2024 12:00:00 AM,DATA FREIGHT LLC.,"2835 PELLISSIER PLACE CITY OF INDUSTRY, CA 90601 UNITED STATES",N/A,2835 PELLISSIER PLACE,,CITY OF INDUSTRY,CA,90601,UNITED STATES,(562) 699-1288,,33.95877,-118.3731
019946,019946,6/30/2024 12:00:00 AM,DB SHIPPING (USA) INC.,"2225 WEST COMMONWEALTH AVE, SUITE 102 ALHAMBRA, CA 91803 UNITED STATES",N/A,"2225 WEST COMMONWEALTH AVE, SUITE 102",,ALHAMBRA,CA,91803,UNITED STATES,(626) 308-0288,2/13/2014 12:00:00 AM,40.76088,-73.83035
024274,024274,4/30/2025 12:00:00 AM,"DBN CARRIER, INC.","15248 TEXACO AVENUE PARAMOUNT, CA 90723 UNITED STATES",N/A,15248 TEXACO AVENUE,,PARAMOUNT,CA,90723,UNITED STATES,(213) 330-5323,,34.06689,-118.3513
019555,019555,5/31/2024 12:00:00 AM,"DE WELL CONTAINER SHIPPING, INC.","5553 BANDINI BLVD. UNIT A BELL, CA 90201 UNITED STATES",N/A,5553 BANDINI BLVD.,UNIT A,BELL,CA,90201,UNITED STATES,(310) 735-8600,10/7/2015 12:00:00 AM,33.99204,-117.9154
014743,014743,3/31/2024 12:00:00 AM,DECKWELL SKY (USA) INC.,"14343 EAST DON JULIAN ROAD CITY OF INDUSTRY, CA 91746 UNITED STATES",MONARCH CONTAINER LINE,14343 EAST DON JULIAN ROAD,,CITY OF INDUSTRY,CA,91746,UNITED STATES,(626) 330-7188,6/1/2017 12:00:00 AM,34.03212,-117.9849
020963,020963,3/31/2024 12:00:00 AM,DEDOLA GLOBAL LOGISTICS,"3822 KATELLA AVENUE LOS ALAMITOS, CA 90720 UNITED STATES",N/A,3822 KATELLA AVENUE,,LOS ALAMITOS,CA,90720,UNITED STATES,(562) 594-8988,12/1/2015 12:00:00 AM,33.80271,-118.0662
017867,017867,7/31/2024 12:00:00 AM,"DELCON LINE (USA), INC.","17777 CENTER COURT DRIVE SUITE 730 CERRITOS, CA 90703 UNITED STATES",N/A,17777 CENTER COURT DRIVE,SUITE 730,CERRITOS,CA,90703,UNITED STATES,(562) 865-8878,,33.86962,-118.0617
006628,006628,8/31/2023 12:00:00 AM,DELTAMAX FREIGHT SYSTEM CORPORATION,"10834 S. LA CIENEGA BLVD. INGLEWOOD, CA 90304 UNITED STATES",N/A,10834 S. LA CIENEGA BLVD.,,INGLEWOOD,CA,90304,UNITED STATES,(310) 338-1411,,33.93767,-118.3699
028697,028697,7/31/2022 12:00:00 AM,DENMAR US LLC,"249 E. OCEAN BLVD. SUITE 212 LONG BEACH, CA 90802 UNITED STATES",N/A,249 E. OCEAN BLVD.,SUITE 212,LONG BEACH,CA,90802,UNITED STATES,(562) 912-7630,,33.77055,-118.182
025458,025458,8/31/2024 12:00:00 AM,"DEPENDABLE GLOBAL EXPRESS, INC.","16800 TROJAN WAY LA MIRADA, CA 90638 UNITED STATES",DGX,16800 TROJAN WAY,,LA MIRADA,CA,90638,UNITED STATES,(310) 669-8888,8/3/2015 12:00:00 AM,33.90668,-118.0101
017605,017605,5/31/2025 12:00:00 AM,DEUK KWON YOON,"163 E COMPTON BLVD GARDENA, CA 90248 UNITED STATES",GLOBAL TRANS LINE,163 E COMPTON BLVD,,GARDENA,CA,90248,UNITED STATES,(213)507-4877,,33.87858,-118.2502
018455,018455,5/31/2024 12:00:00 AM,"DEWITT COMPANIES LTD., LLC","9089 CLAIREMONT MESA BLVD. SUITE 301 SAN DIEGO, CA 92123 UNITED STATES",DEWITT MOVE WORLDWIDE,9089 CLAIREMONT MESA BLVD.,SUITE 301,SAN DIEGO,CA,92123,UNITED STATES,(858) 565-2093,,32.83093,-117.1333
028806,028806,6/30/2025 12:00:00 AM,DF SERVICES LLC,"1657 WEST 108TH STREET LOS ANGELES, CA 90047 UNITED STATES",N/A,1657 WEST 108TH STREET,,LOS ANGELES,CA,90047,UNITED STATES,(424) 337-1300,,33.9569,-118.3073
025447,025447,7/31/2024 12:00:00 AM,DHK EXPRESS INC.,"403 GLENEAGLES PLACE LA CANADA FLINTRIDGE, CA 91011 UNITED STATES",N/A,403 GLENEAGLES PLACE,,LA CANADA FLINTRIDGE,CA,91011,UNITED STATES,(626) 817-6015,,34.20928,-118.199
024484,024484,4/30/2025 12:00:00 AM,"DHY SHIPPING LINE, INC.","939 S. ATLANTIC BLVD. SUITE 207 MONTEREY PARK, CA 91754 UNITED STATES",N/A,939 S. ATLANTIC BLVD.,SUITE 207,MONTEREY PARK,CA,91754,UNITED STATES,(310) 818-3210,,34.03933,-117.778
027874,027874,4/30/2025 12:00:00 AM,DICA LOGISTICS LLC,"330 PASEO TESORO WALNUT, CA 91789 UNITED STATES",N/A,330 PASEO TESORO,,WALNUT,CA,91789,UNITED STATES,(626) 361-8135,,34.01662,-117.8578
006341,006341,1/31/2024 12:00:00 AM,"DIRECT EXPRESS, INC.","230 WEST CAROB STREET COMPTON, CA 90220 UNITED STATES",N/A,230 WEST CAROB STREET,,COMPTON,CA,90220,UNITED STATES,(310) 324-2100,,33.86888,-118.3027
014641,014641,1/31/2024 12:00:00 AM,DIRECT SERVICE INC.,"1209 JOHN REED COURT CITY OF INDUSTRY, CA 91745 UNITED STATES",N/A,1209 JOHN REED COURT,,CITY OF INDUSTRY,CA,91745,UNITED STATES,(626) 956-8000,,34.00198,-117.9404
017920,017920,10/31/2023 12:00:00 AM,DLS FREIGHT SERVICE (SFO) LTD.,"840 HINCKLEY ROAD SUITE 147 BURLINGAME, CA 94010 UNITED STATES",DLS LOGISTIC SERVICE,840 HINCKLEY ROAD,SUITE 147,BURLINGAME,CA,94010,UNITED STATES,(650) 692-8958,,37.59846,-122.3689
017471,017471,1/31/2025 12:00:00 AM,"DLS LOGISTIC SERVICE, LLC","719 N DOUGLAS ST EL SEGUNDO, CA 90245 UNITED STATES",N/A,719 N DOUGLAS ST,,EL SEGUNDO,CA,90245,UNITED STATES,(310) 216-5998,,33.93427,-118.3723
025158,024535,5/31/2023 12:00:00 AM,DMT GLOBAL LOGISTICS LLC,"634 N. POPLAR STREET UNIT H ORANGE, CA 92868 UNITED STATES",N/A,634 N. POPLAR STREET,UNIT H,ORANGE,CA,92868,UNITED STATES,(949) 294-1648,,33.7861,-117.8799
027844,027844,4/30/2024 12:00:00 AM,DNA AUTO GROUP,"23560 PARK BELMONTE CALABASAS, CA 91302 UNITED STATES",N/A,23560 PARK BELMONTE,,CALABASAS,CA,91302,UNITED STATES,(818) 294-4814,,34.14185,-118.6641
026226,026226,6/30/2023 12:00:00 AM,DOLPHIN INTERNATIONAL TRANSPORTATION INC.,"1035 S OTTERBEIN AVENUE INDUSTRY, CA 91748 UNITED STATES",N/A,1035 S OTTERBEIN AVENUE,,INDUSTRY,CA,91748,UNITED STATES,(626) 339-6713,,33.98178,-117.8969
019892,019892,2/28/2025 12:00:00 AM,"DOLPHIN LOGISTICS, INC.","19920 S. ALAMEDA STREET RANCHO DOMINGUEZ, CA 90221 UNITED STATES",ASL LOGISTICS USA,19920 S. ALAMEDA STREET,,RANCHO DOMINGUEZ,CA,90221,UNITED STATES,(626) 934-8886,,33.86154,-118.2205
024774,024774,4/30/2025 12:00:00 AM,"DS LOGISTICS GLOBAL, INC.","13353 ALONDRA BLVD. SUITE 207 SANTA FE SPRINGS, CA 90670 UNITED STATES",N/A,13353 ALONDRA BLVD.,SUITE 207,SANTA FE SPRINGS,CA,90670,UNITED STATES,(562) 404-3788,,33.88796,-118.0473
027020,023042,2/28/2024 12:00:00 AM,"DUCHESS LOGISTICS, LLC","17903 HOLMES AVENUE CERRITOS, CA 90703 UNITED STATES",N/A,17903 HOLMES AVENUE,,CERRITOS,CA,90703,UNITED STATES,(562) 404-5209,,33.85833,-118.0639
022906,022906,6/30/2025 12:00:00 AM,DUKE SYSTEM LOGISTICS INC.,"5150 S ARCHIBALD AVE ONTARIO, CA 91762 UNITED STATES",N/A,5150 S ARCHIBALD AVE,,ONTARIO,CA,91762,UNITED STATES,9093851688,,33.99498,-117.8961
017594,017594,4/30/2025 12:00:00 AM,DW ASSOCIATES INC.,"1744 W 166TH ST - SUITE C GARDENA, CA 90747 UNITED STATES",ABLECARGO.COM,1744 W 166TH ST - SUITE C,,GARDENA,CA,90747,UNITED STATES,310-549-0600,,32.81929,-117.2229
022743,022743,3/31/2024 12:00:00 AM,DYNA (USA) INC.,"18601 S SUSANA ROAD COMPTON, CA 90221 UNITED STATES",N/A,18601 S SUSANA ROAD,,COMPTON,CA,90221,UNITED STATES,(310) 632-4488,,33.86879,-118.2414
020904,020904,4/30/2025 12:00:00 AM,DYNA LOGISTICS INC.,"18601 S. SUSANA ROAD COMPTON, CA 90221 UNITED STATES",N/A,18601 S. SUSANA ROAD,,COMPTON,CA,90221,UNITED STATES,(310) 632-4488,,33.85388,-118.2057
027312,026210,10/31/2023 12:00:00 AM,DYNAMIC EXPORT LLC,"327 COLLEGE STREET SUITE 200 WOODLAND, CA 95695 UNITED STATES",N/A,327 COLLEGE STREET,SUITE 200,WOODLAND,CA,95695,UNITED STATES,(530) 383-3002,,38.67429,-121.7793
020362,020362,2/28/2024 12:00:00 AM,"DYNAMIC L.A., A CALIFORNIA CORPORATION","11869 WICKS STREET SUN VALLEY, CA 91352 UNITED STATES",N/A,11869 WICKS STREET,,SUN VALLEY,CA,91352,UNITED STATES,(818) 771-1111,,34.23356,-118.577
024954,024954,4/30/2024 12:00:00 AM,"DYNAMIC MULTIMODAL SYSTEM, INC.","19401 SOUTH MAIN STREET SUITE 101 GARDENA, CA 90248 UNITED STATES",N/A,19401 SOUTH MAIN STREET,SUITE 101,GARDENA,CA,90248,UNITED STATES,(310) 965-0988,,33.87451,-118.2893
013548,013548,8/31/2024 12:00:00 AM,DYNASTY CUSTOMS BROKER INC.,"1409 SAN MATEO AVENUE SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,1409 SAN MATEO AVENUE,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 794-4103,,37.6464,-122.4103
018398,018398,8/31/2022 12:00:00 AM,DYNASTY FREIGHT CONSOLIDATOR INC.,"1 EDWARDS COURT SUITE 206 BURLINGAME, CA 94010 UNITED STATES",N/A,1 EDWARDS COURT,SUITE 206,BURLINGAME,CA,94010,UNITED STATES,(650) 552-0005,,37.60129,-122.3768
013655,013655,5/31/2024 12:00:00 AM,DYNASTY SHIPPING INCORPORATED,"12770 MORRE ST CERRITOS, CA 90703 UNITED STATES",N/A,12770 MORRE ST,,CERRITOS,CA,90703,UNITED STATES,(310) 645-2838,,33.95507,-118.374
029823,029823,3/31/2023 12:00:00 AM,DYNASTY SHIPPING LLC,"12770 MOORE STREET CERRITOS, CA 90703 UNITED STATES",N/A,12770 MOORE STREET,,CERRITOS,CA,90703,UNITED STATES,(562) 474-8289,,33.85833,-118.0639
027002,027002,2/28/2025 12:00:00 AM,E CARGO INC.,"13831 ROSWELL AVE #H CHINO, CA 91710 UNITED STATES",N/A,13831 ROSWELL AVE,#H,CHINO,CA,91710,UNITED STATES,(909) 548-3711,,34.01253,-117.6844
029616,029616,6/30/2023 12:00:00 AM,E TRANS INC,"1759 MIMOSA PLACE FULLERTON, CA 92835 UNITED STATES",N/A,1759 MIMOSA PLACE,,FULLERTON,CA,92835,UNITED STATES,(562) 926-8898,,33.9022,-117.9065
015604,015604,4/30/2025 12:00:00 AM,E.T.I. INT'L INC.,"17595 ALMAHURST STREET SUITE 203 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,17595 ALMAHURST STREET,SUITE 203,CITY OF INDUSTRY,CA,91748,UNITED STATES,(626) 295-2366,11/23/2012 12:00:00 AM,33.95845,-118.0712
017433,017433,3/31/2023 12:00:00 AM,"EARTH CARGO, INC.","1025 W. ARBOR VITAE INGLEWOOD, CA 90301 UNITED STATES",N/A,1025 W. ARBOR VITAE,,INGLEWOOD,CA,90301,UNITED STATES,(310) 670-7300,,33.95293,-118.3747
019430,019430,10/31/2023 12:00:00 AM,EARTHLINK CARGO AND CUSTOMS SERVICE,"6449 WHITTIER BLVD. LOS ANGELES, CA 90022 UNITED STATES",N/A,6449 WHITTIER BLVD.,,LOS ANGELES,CA,90022,UNITED STATES,(323) 722-1636,,34.01557,-118.1329
026901,026901,1/31/2025 12:00:00 AM,EAST WEST CONTAINER LINE INC,"14778 PIPELINE AVE STE. B CHINO HILLS, CA 91709 UNITED STATES",N/A,14778 PIPELINE AVE,STE. B,CHINO HILLS,CA,91709,UNITED STATES,(909) 551-0102,,33.97974,-117.7308
029855,029855,5/31/2024 12:00:00 AM,"EASTERN CAR LINER (AMERICAS), INC.","301 EAST OCEAN BLVD., SUITE #270 LONG BEACH, CA 90802 UNITED STATES",ECL AMERICAS,"301 EAST OCEAN BLVD., SUITE #270",,LONG BEACH,CA,90802,UNITED STATES,(562) 513-1170,,33.77055,-118.182
017024,017024,4/30/2023 12:00:00 AM,"EAST-WEST LOGISTICS, INC.","13875 CERRITOS CORPORATE DR. SUITE A CERRITOS, CA 90703 UNITED STATES",N/A,13875 CERRITOS CORPORATE DR.,SUITE A,CERRITOS,CA,90703,UNITED STATES,(714) 690-3700,10/21/2016 12:00:00 AM,33.88574,-118.0155
024198,024198,8/31/2022 12:00:00 AM,EASY EXPRESS INC.,"19401 S. VERMONT AVENUE SUITE D-100 TORRANCE, CA 90502 UNITED STATES",N/A,19401 S. VERMONT AVENUE,SUITE D-100,TORRANCE,CA,90502,UNITED STATES,(424) 227-9478,,33.93206,-118.3697
029088,029088,8/31/2022 12:00:00 AM,EASY OCEAN INC,"3129 S HACIENDA BLVD STE 1168 HACIENDA HEIGHTS, CA 91745 UNITED STATES",N/A,3129 S HACIENDA BLVD,STE 1168,HACIENDA HEIGHTS,CA,91745,UNITED STATES,(626) 552-5626,,33.99774,-117.9652
022793,022793,3/31/2025 12:00:00 AM,EC LOGISTICS LLC,"1700 EAST WALNUT AVENUE SUITE 420 EL SEGUNDO, CA 90245 UNITED STATES",N/A,1700 EAST WALNUT AVENUE,SUITE 420,EL SEGUNDO,CA,90245,UNITED STATES,(310) 862-9999,,33.92855,-118.3978
023329,023329,9/30/2023 12:00:00 AM,"E-CARGOWAY LOGISTICS USA, INC.","1040 N OLIVE ST ANAHEIM, CA 92801 UNITED STATES",N/A,1040 N OLIVE ST,,ANAHEIM,CA,92801,UNITED STATES,(562) 602-1020,,33.87043,-118.2457
026544,026544,4/30/2024 12:00:00 AM,"ECCP LOGISTICS, INC.","2550 W. MAIN STREET SUITE 203 ALHAMBRA, CA 91801 UNITED STATES",N/A,2550 W. MAIN STREET,SUITE 203,ALHAMBRA,CA,91801,UNITED STATES,(626) 817-9168,,34.09143,-118.1293
030046,030046,6/30/2024 12:00:00 AM,ECOSPHERE GLOBAL LOGISTICS LLC,"360 N. PACIFIC COAST HIGHWAY EL SEGUNDO, CA 90245 UNITED STATES",N/A,360 N. PACIFIC COAST HIGHWAY,,EL SEGUNDO,CA,90245,UNITED STATES,(421) 400-2918,,33.92427,-118.4119
028207,028207,7/31/2022 12:00:00 AM,ECS UNIVERSAL INC.,"6980 ARAGON CIRCLE, #1 BUENA PARK, CA 90620 UNITED STATES",N/A,"6980 ARAGON CIRCLE, #1",,BUENA PARK,CA,90620,UNITED STATES,(626) 691-3161,,33.84061,-118.0114
020673,020673,3/31/2025 12:00:00 AM,"EDM INTERNATIONAL LOGISTICS, INC.","5821 S MALT AVE COMMERCE, CA 90040 UNITED STATES",N/A,5821 S MALT AVE,,COMMERCE,CA,90040,UNITED STATES,(626) 588-2299,,34.08841,-118.1505
023146,015545,5/31/2024 12:00:00 AM,EDWARD TRANSIT EXPRESS GROUP INC,"15000 STAFF COURT GARDENA, CA 90248 UNITED STATES",N/A,15000 STAFF COURT,,GARDENA,CA,90248,UNITED STATES,(310) 603-9099,5/12/2021 12:00:00 AM,33.89581,-118.2746
028132,028132,2/28/2023 12:00:00 AM,EFFICIENT LOGISTICS INC,"1809 246TH STREET LOMITA, CA 90717 UNITED STATES",N/A,1809 246TH STREET,,LOMITA,CA,90717,UNITED STATES,(424) 306-9896,,33.79334,-118.3169
018849,018849,9/30/2024 12:00:00 AM,"EFI LOGISTICS, INC.","235 MONTGOMERY STREET SUITE 1150 SAN FRANCISCO, CA 94104 UNITED STATES",N/A,235 MONTGOMERY STREET,SUITE 1150,SAN FRANCISCO,CA,94104,UNITED STATES,(415) 344-4820,,37.7914,-122.4028
020610,020610,10/31/2023 12:00:00 AM,EFM USA INC.,"20925 BONITA STREET CARSON, CA 90746 UNITED STATES",EFM MANAGEMENT INC.,20925 BONITA STREET,,CARSON,CA,90746,UNITED STATES,(310) 808-9911,,33.85844,-118.2554
022171,022171,1/31/2025 12:00:00 AM,E-FREIGHT SOLUTIONS INC.,"1000 CORPORATE CENTER DRIVE SUITE 140 MONTEREY PARK, CA 91754 UNITED STATES",FLEET INTERNATIONAL TRANSPORT,1000 CORPORATE CENTER DRIVE,SUITE 140,MONTEREY PARK,CA,91754,UNITED STATES,(323) 488-6188,3/23/2015 12:00:00 AM,34.05047,-118.1619
026099,026099,9/30/2022 12:00:00 AM,EGREEN TRANSPORT CORPORATION,"1383 S CUCAMONGA AVE ONTARIO, CA 91761 UNITED STATES",CLIPPER TRANSPORT,1383 S CUCAMONGA AVE,,ONTARIO,CA,91761,UNITED STATES,(202) 288-8528,,34.03165,-117.6187
027240,027240,10/31/2024 12:00:00 AM,"EJ WORLD SHIPPING, INC.","198 WEST 146TH STREET SUITE A GARDENA, CA 90248 UNITED STATES",N/A,198 WEST 146TH STREET,SUITE A,GARDENA,CA,90248,UNITED STATES,(213) 255-6900,,33.87451,-118.2893
027394,027394,4/30/2025 12:00:00 AM,ELIAS G. KIM,"15319 NORMANDY LANE LA MIRADA, CA 90638 UNITED STATES",JJ WORLDWIDE LOGISTICS,15319 NORMANDY LANE,,LA MIRADA,CA,90638,UNITED STATES,(562) 335-0866,,33.90668,-118.0101
027016,027016,6/30/2023 12:00:00 AM,"ELITE FREIGHT LOGISTICS, LLC","2116 SEAMAN AVE SUITE A SOUTH EL MONTE, CA 91733 UNITED STATES",N/A,2116 SEAMAN AVE,SUITE A,SOUTH EL MONTE,CA,91733,UNITED STATES,(626) 347-1353,,34.05568,-118.0444
022530,022530,10/31/2023 12:00:00 AM,EMARAT SHIPPING INC.,"4126 E. LA PALMA AVENUE ANAHEIM, CA 92807 UNITED STATES",N/A,4126 E. LA PALMA AVENUE,,ANAHEIM,CA,92807,UNITED STATES,(714) 996-9950,,33.85802,-117.8256
022706,022706,6/30/2022 12:00:00 AM,EMPIRE WORLDWIDE LOGISTICS LLC,"222 NORTH SEPULVEDA BLVD. SUITE 2000 EL SEGUNDO, CA 90245 UNITED STATES",N/A,222 NORTH SEPULVEDA BLVD.,SUITE 2000,EL SEGUNDO,CA,90245,UNITED STATES,(516) 241-4649,11/3/2017 12:00:00 AM,26.3566,-80.1849
026889,026889,9/30/2022 12:00:00 AM,"EMS FREIGHT LOGISTICS,LLC","419 EAST 59TH STREET LONG BEACH, CA 90805 UNITED STATES",N/A,419 EAST 59TH STREET,,LONG BEACH,CA,90805,UNITED STATES,(562) 370-0582,,33.86346,-118.1801
015696,015696,6/30/2025 12:00:00 AM,"ENC, INC.","19811 S. HAMILTON AVENUE TORRANCE, CA 90502 UNITED STATES",N/A,19811 S. HAMILTON AVENUE,,TORRANCE,CA,90502,UNITED STATES,(310) 630-8001,,33.82856,-118.292
030515,030515,5/31/2023 12:00:00 AM,ENDURANCE CARGO MANAGEMENT INC.,"18 UPLAND IRVINE, CA 92602 UNITED STATES",N/A,18 UPLAND,,IRVINE,CA,92602,UNITED STATES,(949) 678-9020,,33.7357,-117.7672
031034,031034,4/30/2024 12:00:00 AM,ENI EXPRESS INC,"68 PRESTON LANE BUENA PARK, CA 90621 UNITED STATES",N/A,68 PRESTON LANE,,BUENA PARK,CA,90621,UNITED STATES,(714) 396-7539,,33.87313,-117.9943
020079,020079,9/30/2022 12:00:00 AM,"ENR LOGISTICS, INC.","16861 RIDGE CLIFF DRIVE RIVERSIDE, CA 92503 UNITED STATES",ENR LOGISTICS,16861 RIDGE CLIFF DRIVE,,RIVERSIDE,CA,92503,UNITED STATES,(951) 687-0234,,33.87177,-117.4738
027656,027656,6/30/2024 12:00:00 AM,EPIC FREIGHT SOLUTIONS LLC,"15901 HAWTHORNE BLVD. SUITE 490 LAWNDALE, CA 90260 UNITED STATES",N/A,15901 HAWTHORNE BLVD.,SUITE 490,LAWNDALE,CA,90260,UNITED STATES,(818) 464-3742,,33.88791,-118.351
025755,025755,5/31/2024 12:00:00 AM,ERIC RICHARD RADLEY,"2069 5TH AVENUE SUITE A SAN RAFAEL, CA 94901 UNITED STATES",UNITED PACIFIC LOGISTICS,2069 5TH AVENUE,SUITE A,SAN RAFAEL,CA,94901,UNITED STATES,(415) 686-7817,,37.96914,-122.5105
023465,023465,5/31/2024 12:00:00 AM,"ESKO, INC.","17870 CASTLETON STREET SUITE 317 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,17870 CASTLETON STREET,SUITE 317,CITY OF INDUSTRY,CA,91748,UNITED STATES,(626) 213-3289,,33.99194,-117.914
027366,027366,6/30/2024 12:00:00 AM,ETERNAL LOGISTICS INC.,"809 N DALTON AVE AZUSA, CA 91702 UNITED STATES",N/A,809 N DALTON AVE,,AZUSA,CA,91702,UNITED STATES,(909) 591-9519,,34.12476,-117.9031
