,SCAC,consignee
183,AQEG,"JF HILLEBRAND USA, INC."
184,AQEG,BRIDGESTONE AMERICAS TIRE OPERATION
185,AQEG,SANITIZED
186,HKTH,INTERLOG USA  INC.
187,HKTH,FUNAI CORPORATION  INC.
188,HKTH,"INTERLOG USA, INC"
189,DEUC,"GREAT GIANT FOODS, USA, INC."
190,DEUC,NIK TRANSPORT
191,DEUC,"C.H. ROBINSON INTERNATIONAL, INC."
192,DEUC,C.H. ROBINSON INTERNATIONAL INC
193,DEUC,SANITIZED
194,ULSB,SHIPTECH LLC
195,ULSB,DHL GLOBAL FORWARDING
196,ULSB,"AM GLOBAL SHIPPING CO., LTD."
197,ULSB,O.E.C. SHIPPING LOS ANGELES INC.
198,ULSB,SEA TRADE INTERNATIONAL INCORPORATE
199,ULSB,MIDEA AMERICA CORP.
200,ULSB,SCHENKER INC
201,ULSB,EXPEDITORS INT'L OF WASHINGTON INC.
202,ULSB,NATUZZI AMERICAS INCORPORATED
203,ULSB,CANADIAN SOLAR (USA) INC.
204,ULSB,FREIGHTERS LLC
205,ULSB,UNION LOGISTICS INC
206,ULSB,WALMAY LOGISTICS INC.
207,ULSB,"TAGGART INTERNATIONAL, LTD."
208,ULSB,"SHELTERED INTERNATIONAL, LLC"
209,ULSB,EFL CONTAINER LINES LLC
210,ULSB,"TAGGART INTERNATIONAL, LTD"
211,ULSB,ASHLEY FURNITURE TRADING COMPANY LL
212,ULSB,TANERA TRANSPORT LLC
213,ULSB,KUEHNE + NAGEL INC
214,ULSB,KYOCERA DOCUMENT SOLUTIONS AMERICA
215,ULSB,"BRENNTAG PACIFIC, INC."
216,ULSB,FLEXPORT INTERNATIONAL LLC
217,ULSB,KUEHNE + NAGEL INC.
218,ULSB,UNKNOWN
219,ULSB,"SMUCKER MANUFACTURING,INC."
220,ULSB,SANITIZED
221,ULSB,"NATUZZI AMERICAS, INC."
222,CVDG,ROUND-THE-WORLD LOGISTICS (U.S.A.)
223,CVDG,KUEHNE + NAGEL INC.
224,CVDG,SANITIZED
225,CVDG,BERLIN PACKAGING LLC
226,WLGO,MALLORY ALEXANDER INTERNATIONAL LOG
227,WLGO,DSV AIR & SEA INC.
228,WLGO,E.D. & F. MAN SUGAR INC.
229,WLGO,"SAMSUNG SDS GLOBAL SCL AMERICA,INC."
230,WLGO,SANITIZED
231,TRUO,"PANDA LOGISTICS USA, INC."
232,ELLC,OEC GROUP
233,ELLC,"WISMETTAC ASIAN FOODS, INC."
234,ELLC,"UWL,INC."
235,ELLC,"BUILDING MATERIAL DISTRIBUTORS,INC"
236,ELLC,UNIQUE LOGISTICS INTERNATIONAL
237,ELLC,"WHALE LOGISTICS (USA),INC."
238,ELLC,U S CARGO LINE
239,ELLC,"NEW MARINE CONSOLIDATOR, INC"
240,ELLC,DSV AIR & SEA (AUSTIN)
241,ELLC,JAMES J.BOYLE AND CO.
242,ELLC,THE CARGO INTERNATIONAL LOGISTICS
243,ELLC,O.E.C. SHIPPING LOS ANGELES INC.
244,ELLC,MITSUI-SOKO (U.S.A.) INC.
245,ELLC,"US CARGO LINE, INC."
246,ELLC,NIK TRANSPORT
247,ELLC,TOPOCEAN CONSOLIDATION SERVICE (LAX
248,ELLC,TOPOCEAN CONSOLIDATION SERVICE
249,ELLC,PAN PACIFIC EXPRESS CORPORATION
250,ELLC,BARKLAYS LOGISTICS INC.
251,ELLC,US PACIFIC TRANSPORT INC (NYC)
252,ELLC,T.V.L. GLOBAL LOGISTICS CORP.
253,ELLC,C.H. ROBINSON INTERNATIONAL INC
254,ELLC,"UNION LOGISTICS, INC."
255,ELLC,UNIQUE LOGISTICS INTERNATIONAL (NYC
256,ELLC,"BUILDING MATERIAL DISTRIBUTORS,"
257,ELLC,HELLMANN WORLDWIDE
258,ELLC,WISMETTAC ASIAN FOODS
259,ELLC,"TRIUMPH LINK (USA), INC."
260,ELLC,"BUILDING MATERIAL DISTRIBUTORS, INC"
261,ELLC,GEBRUDER WEISS INC.
262,ELLC,DYNA TRANSPORT INC
263,ELLC,ACME FREIGHT SERVICES CORPORATION
264,ELLC,UNKNOWN
265,ELLC,ILYS FASHION
266,ELLC,"JTL LOGISTICS USA,INC"
267,ELLC,"HELLMANN WORLDWIDE LOGISTICS,INC."
268,ELLC,PREMIER GLOBAL LOGISTICS LLC
269,ELLC,BUILDING MATERIAL
270,ELLC,HELLMANN WORLDWIDE LOGISTICS INC.
271,ELLC,SANITIZED
272,ELLC,HAI-WIND WORLDWIDE INC
273,ODYL,FBR MARBLE INC
274,ODYL,INTERGLOBO USA INC.
275,ODYL,PAN PACIFIC EXPRESS CORP.
276,ODYL,NORTHWEST HARDWOODS INC.
277,ODYL,TANERA TRANSPORT LLC
278,ODYL,JDY INTERNATIONAL INC
279,ODYL,TO ORDER OF AMALGAMET LTD
280,ODYL,EMSER TILE LLC
281,ODYL,"U-STUCCO USA, LLC"
282,ODYL,TO ORDER OF HSBC UK BANK PLC
283,ODYL,SHANDEX CORPORATION
284,ODYL,"CITY OCEAN INTERNATIONAL INC.,"
285,ODYL,DE WELL CONTAINER SHIPPING INC.
286,ODYL,INTERGLOBO NORTH AMERICA INC.
287,ODYL,LONGSAIL USA CORPORATION
288,ODYL,SANITIZED
289,ITIK,LEVER LOGISTICS LLC
290,ITIK,"PIONEER GLOBAL LOGISTICS, INC."
291,ITIK,CLEARFREIGHT  INC
292,ITIK,TRANS WAGON INTL (USA) CO.  LTD.
293,ITIK,TOPOCEAN CONSOLIDATION SERVICE (LAX
294,ITIK,DE WELL CONTAINER SHIPPING INC.
295,ITIK,PIONEER GLOBAL LOGISTICS  INC.
296,ITIK,"CITY OCEAN INTERNATIONAL INC.,"
297,WHSK,KUEHNE + NAGEL INCORPORATED
298,WHSK,OEC FREIGHT (NY) INC.
299,WHSK,LATIN PRO LLC
300,WHSK,"TRANSLINK SHIPPING, INC."
301,WHSK,BURLINGTON COAT FACTORY
302,WHSK,SOUTH EAST WORLD WIDE LTD.
303,WHSK,SUN TRACK EXPRESS INC
304,WHSK,BURLINGTON COAT FACTORY  WAREHOUSE
305,WHSK,M2 SHIPPING COMPANY INC
306,WHSK,KUEHNE+NAGEL INC (TORRANCE)
307,WHSK,"DECKERS OUTDOOR CORPORATION, MOZO B"
308,WHSK,Kuehne + Nagel Inc.
309,WHSK,"XPO GLOBAL FORWARDING, INC - MCO"
310,WHSK,JDY INTERNATIONAL INC
311,WHSK,PRINCESS COLLECTION CORP
312,WHSK,"C.H. ROBINSON INTERNATIONAL, INC."
313,WHSK,ADIDAS INTERNATIONAL TRADING AG
314,WHSK,"APL LOGISTICS, LTD."
315,WHSK,SANITIZED
316,WHSK,OEC SHIPPING LOS ANGELES INC
317,WHSK,BURLINGTON COAT FACTORY WAREHOUSE C
318,WHSK,BURLINGTON COAT FACTORY WAREHOUSE
319,WHSK,OEC FREIGHT (NY) INC
320,PRQL,"BARKBOX, INC."
321,PRQL,SANITIZED
322,MWCJ,EXPEDITORS INTL OF WA INC
323,MWCJ,FEDEX TRADE NETWORKS TRANSPORT
324,MWCJ,C.H. ROBINSON INTERNATIONAL INC.
325,MWCJ,SCHENKER INCORPORATED
326,MWCJ,EXPEDITORS INTERNATIONAL OF WA. INC
327,MWCJ,"C.H. ROBINSON INTERNATIONAL, INC."
328,MWCJ,UNKNOWN
329,MWCJ,DIMERCO EXPRESS (USA) CORP.
330,MWCJ,FEDEX TRADE NETWORKS TRANSPORT &
331,MWCJ,FEDEX TRADE NETWORKS
332,MWCJ,C H ROBINSON INTERNATIONAL INCORPOR
333,MWCJ,C.H. ROBINSON INTERNATIONAL INC
334,MWCJ,SCHENKER INC
335,MWCJ,SANITIZED
336,MWCJ,OEC FREIGHT (NY) INC
337,OTDW,LEADER AIR  SEA  INC.
338,OTDW,NIPPON EXPRESS USA INC
339,OTDW,KUEHNE + NAGEL INC.
340,OTDW,PAN PACIFIC EXPRESS CORPORATION
341,OTDW,DSV AIR & SEA INC
342,OTDW,"LEADER AIR & SEA, INC."
343,OTDW,SAE WORLDTRANS LOGISTICS (USA) INC.
344,OTDW,DSV AIR  SEA INC
345,OTDW,US PACIFIC TRANSPORT INC (NYC)
346,OTDW,T.V.L. GLOBAL LOGISTICS CORP.
347,OTDW,"NIPPON EXPRESS USA, INC."
348,OTDW,SCHENKER INC
349,GGEJ,CROWNFU LOGISTICS INC
350,GGEJ,"INTERFREIGHT LOGISTICS CO.,LTD"
351,GGEJ,TRANS WAGON INTL (USA) CO.  LTD.
352,GGEJ,ROUND-THE-WORLD LOGISTICS (U.S.A.)
353,GGEJ,CTC LOGISTICS (L.A.) INC.
354,GGEJ,O.E.C. SHIPPING LOS ANGELES INC.
355,GGEJ,WIL CAN USA (GROUP) INC.
356,GGEJ,SCHENKER INC
357,GGEJ,"AIR TIGER EXPRESS (USA), INC."
358,GGEJ,APEX MARITIME CO.  INC.
359,GGEJ,"CITY OCEAN INTERNATIONAL INC., (LOS"
360,GGEJ,NIK TRANSPORT
361,GGEJ,CAPITAL FREIGHT MANAGEMENT INC.
362,GGEJ,TOPOCEAN CONSOLIDATION SERVICE
363,GGEJ,"APEX MARITIME CO., INC."
364,GGEJ,WALGREEN CO.
365,GGEJ,DYNA LOGISTICS INC.
366,GGEJ,BVL GROUP (USA) INC.
367,GGEJ,STRAIGHT FORWARDING INC
368,GGEJ,TRANS KNIGHTS INCORPORATED
369,GGEJ,"APEX MARITIME CO, INC."
370,GGEJ,"STRAIGHT FORWARDING,INC"
371,GGEJ,AMERICAN GLOBAL LOGISTICS
372,GGEJ,HARVEST GLOBAL INTERNATIONAL INC.
373,GGEJ,DE WELL CONTAINER SHIPPING INC.
374,GGEJ,STRAIGHT FORWARDING INC.
375,GGEJ,CONCORD COOKWARE INC
376,GGEJ,CONTINENT SOLUTION SYSTEM INC.
377,GGEJ,"TRANS WAGON INTL (USA) CO., LTD."
378,GGEJ,"CITY OCEAN INTERNATIONAL INC.,"
379,GGEJ,SEAMAX FREIGHT INTERNATIONAL  INC
380,GGEJ,YELLOW BOX CORP
381,GGEJ,"SEAMAX FREIGHT INTERNATIONAL, INC"
382,GGEJ,"NORMAN KRIEGER, INC."
383,GGEJ,"STRAIGHT FORWARDING, INC."
384,GGEJ,UNKNOWN
385,GGEJ,"GRAMTER INT L (USA) CO., LTD."
386,GGEJ,MOMENTUM LOGISTICS CORP.
387,GGEJ,EAST WEST CONTAINER LINE INC
388,LSFT,DB SHIPPING USA INC
389,LSFT,"LIVING SPACES FURNITURE, LLC"
390,LSFT,SANITIZED
391,BLHT,OEC GROUP (LOS ANGELES)
392,BLHT,"KUEHNE + NAGEL, INC."
393,BLHT,VF WORLDCARGO LLC
394,BLHT,UNKNOWN
395,BLHT,"FULLTRANS GLOBAL FORWARDING, INC"
396,BLHT,CIL FREIGHT INC
397,BLHT,SANITIZED
398,BLHT,Expeditors Intl of WA Inc
399,BLHT,O.E.C. SHIPPING LOS ANGELES INC.
400,BLHT,EXPEDITORS INTERNATIONAL OF WASHING
401,RRBW,AMERASIA SHIPPING LOGISTICS U.S.
402,RRBW,"SKYFER LOGISTIC (USA) INC.,"
403,RRBW,2253 APPAREL INC
404,RRBW,"SEAMAX FREIGHT INTERNATIONAL, INC"
405,RRBW,CELEBRITY PINK
406,RRBW,DSV AIR & SEA INC
407,RRBW,"GLOBAL OCEAN AGENCY LINES, LLC"
408,RRBW,O.E.C.SHIPPING LOS ANGELES INC.
409,RRBW,GREAT LUCK INC.
410,RRBW,"2253 APPAREL INC,"
411,RRBW,SAVINO DEL BENE USA - NEW YORK
412,GCIS,COAST BEACON
413,GCIS,HONOUR LANE LOGISTICS (USA) INC
414,GCIS,MASTERPIECE INTERNATIONAL LTD.
415,GCIS,DSV AIR & SEA INC
416,GCIS,"UPS OCEAN FREIGHT SERVICES, INC."
417,GCIS,MATHIS BROTHERS FURNITURE
418,GCIS,DAHNAY LOGISTICS USA INC
419,GCIS,UPS OCEAN FREIGHT SERVICES INC.
420,GCIS,PAN PACIFIC EXPRESS CORPORATION
421,GCIS,DSV AIR & SEA INC.
422,GCIS,UPS OCEAN FREIGHT SERVICES  INC.
423,GCIS,PRIME AGENCY
424,GCIS,APEX MARITIME CO. (LAX) INC.
425,GCIS,MASTERPIECE INTERNATIONAL LIMITED
426,GCIS,RTW LOGISTICS INC
427,GCIS,ZAFCO INTERNATIONAL LLC
428,GCIS,NEXCOM WEST COAST
429,GCIS,JAS FORWARDING WORLDWIDE INC
430,GCIS,CRANE WORLDWIDE LOGISTICS - ORD
431,GCIS,HONOUR LANE LOGISTICS USA INCORPORA
432,GCIS,CRANE WORLDWIDE LOGISTICS LLC
433,GCIS,SANITIZED
434,QXLC,MASTERPIECE INT'L LTD
435,QXLC,KINTETSU WORLD EXPRESS USA INC
436,QXLC,AIT WORLDWIDE LOGISTICS INC.
437,QXLC,"DOLLAR GENERAL LOGISTICS, LLC"
438,QXLC,"AXIOM WORLDWIDE LOGISTIX, INC"
439,QXLC,CANON U.S.A. INCORPORATED
440,QXLC,J.P. FREGHT  INC.
441,QXLC,CMS SHIPPING  INC.
442,QXLC,APEX LOGISTICS INTERNATIONAL INC.
443,QXLC,AXIS GLOBAL LOGISTICS
444,QXLC,TOPOCEAN CONSOLIDATION SERVICE
445,QXLC,MASTERPIECE INTL LTD
446,QXLC,UNKNOWN
447,QXLC,HOME DEPOT U.S.A.  INC.
448,QXLC,"LG SOURCING, INC."
449,QXLC,"KUEHNE & NAGEL, INC."
450,QXLC,SANITIZED
451,USSN,JD SUPPLY CHAIN SOLUTION LLC
452,USSN,SAVINO DEL BENE USA HEADQUARTERS
453,USSN,"KUEHNE + NAGEL,INC."
454,USSN,SEA TRADE INTERNATIONAL INCORPORATE
455,USSN,SANITIZED
456,OSHB,YUSEN LOGISTICS (AMERICAS) INC.
457,OSHB,"UWL,INC."
458,OSHB,TOPOCEAN CONSOLIDATION SERVICE (LAX
459,OSHB,FAMILY DOLLAR SERVICES  LLC
460,OSHB,DSV AIR  SEA INC
461,OSHB,"FAMILY DOLLAR SERVICES, LLC"
462,OFOP,MOMENTUM LOGISTICS CORPORATION
463,OFOP,ROUND-THE-WORLD LOGISTICS (USA)
464,OFOP,FEDEX TRADE NETWORKS
465,OFOP,SANITIZED
466,DGNN,TRADE EXPEDITORS USA  INC. DBA TEU
467,FRQT,TRANSGROUP GLOBAL LOGISTICS
468,FRQT,DHL GLOBAL FORWARDING
469,FRQT,US PACIFIC SHIPPING CORP.
470,FRQT,"INTERFREIGHT LOGISTICS CO.,LTD"
471,FRQT,JANEL GROUP  INC.
472,FRQT,ALISPED USA INC
473,FRQT,"UPS OCEAN FREIGHT SERVICES, INC."
474,FRQT,OEC FREIGHT (NY) INC.
475,FRQT,"J DELUCA FISH COMPANY, INC."
476,FRQT,UQI SHIPPING INC
477,FRQT,UML INTERNATIONAL (USA) INC.
478,FRQT,"AM GLOBAL SHIPPING CO., LTD."
479,FRQT,ASCENT GLOBAL LOGISTICS
480,FRQT,CELSIUS INC.
481,FRQT,TOPOCEAN CONSOLIDATION SERVICE (LOS
482,FRQT,ROUND-THE-WORLD LOGISTICS (USA)
483,FRQT,UPS OCEAN FREIGHT SERVICES INC.
484,FRQT,OEC GROUP CHICAGO
485,FRQT,TOPOCEAN CONSOLIDATION SERVICE (LAX
486,FRQT,PAN PACIFIC EXPRESS CORPORATION
487,FRQT,KINTETSU WORLD EXPRESS (U.S.A.) INC
488,FRQT,DHY SHIPPING LINE INC.
489,FRQT,MOTHERLINES INC.
490,FRQT,ROUND-THE-WORLD LOGISTICS (U S A )
491,FRQT,US PACIFIC TRANSPORT INC (NYC)
492,FRQT,LF LOGISTICS USA LLC
493,FRQT,UPS OCEAN FREIGHT SERVICES INC
494,FRQT,UPS OCEAN FREIGHT SERVICES  INC.
495,FRQT,"UPS OCEAN FREIGHT SERVICES, INC"
496,FRQT,HONOUR LANE LOGISTICS (USA) INC.
497,FRQT,LIBERTY PROCUREMENT CO. INC.
498,FRQT,UNITED SUNFINE LOGISTICS INC
499,FRQT,ASHLEY FURNITURE TRADING COMPANY LL
500,FRQT,"APEX MARITIME CO., (ORD) INC"
501,FRQT,SEA SHIPPING LINE
502,FRQT,"C.H. ROBINSON INTERNATIONAL, INC."
503,FRQT,HERCULES TIRE & RUBBER COMPANY (THE
504,FRQT,UNKNOWN
505,FRQT,LIBERTY PROCUREMENT CO. INC
506,FRQT,"ROSS PROCUREMENT, INC."
507,FRQT,OEC SHIPPING LOS ANGELES INC
508,FRQT,BBFY INDUSTRIAL USA INC.
509,FRQT,SANITIZED
510,GSDY,NIPPON EXPRESS U.S.A. INC.
511,GSDY,AIR TIGER EXPRESS (USA) INC
512,GSDY,O.E.C. SHIPPING LOS ANGELES INC.
513,GSDY,KINTETSU WORLD EXPRESS USA INC
514,GSDY,KINTETSU WORLD EXPRESS USA INC.
515,GSDY,TOPOCEAN CONSOLIDATION SERVICE
516,GSDY,KINTETSU WORLD EXPRESS (U.S.A.) INC
517,GSDY,"NIPPON EXPRESS U.S.A.,INC."
518,GSDY,MONARCH CONTAINER LINE
519,GSDY,R.O.E. LINE.
520,GSDY,SUN TRACK EXPRESS INC
521,GSDY,US PACIFIC TRANSPORT INC (NYC)
522,GSDY,"KINTETSU WORLD EXPRESS (U.S.A.),INC"
523,GSDY,T.V.L. GLOBAL LOGISTICS CORP.
524,GSDY,"UNION LOGISTICS, INC."
525,GSDY,NIPPON EXPRESS CUSTOMER SERVICE (OC
526,GSDY,NIPPON EXPRESS USA INC
527,GSDY,KUEHNE+NAGEL INC (TORRANCE)
528,GSDY,"SUN TRACK EXPRESS, INC"
529,GSDY,PAN STAR EXPRESS (CHICAGO) CORP.
530,GSDY,"APEX MARITIME CO., (ORD) INC"
531,GSDY,"C.H. ROBINSON INTERNATIONAL, INC"
532,GSDY,CLEAR FREIGHT INC.
533,GSDY,TANERA TRANSPORT LLC
534,GSDY,CMS SHIPPING  INC.
535,GSDY,GOPLUS CORPORATION
536,GSDY,"KINTETSU WORLD EXPRESS(U.S.A.),INC."
537,GSDY,UNKNOWN
538,GSDY,LAUFER GROUP INTERNATIONAL LTD.
539,GSDY,"NIPPON EXPRESS U.S.A., INC."
540,GSDY,SCANWELL LOGISTICS (LAX) INC.
541,GSDY,SANITIZED
542,GSDY,KINTETSU WORLD EXPRESS
543,XPOK,"C.H. ROBINSON FREIGHT SERVICES, LTD"
544,XPOK,C.H. ROBINSON INTERNATIONAL INC.
