Ocean Transportation Intermediaries (OTI) List,
Federal Maritime Commission,
Org. No.,Lic. No.,Renewal,Name,Principal Address,Trade Name(s),Street Address 1,Street Address 2,City,State,Zip Code \ Postal Code,Country,Phone,Latitude,Longitude
027547,027547,7/31/2024 12:00:00 AM,"AIC LOGISTICS, INC.","21901 BELSHIRE AVENUE HAWAIIAN GARDENS, CA 90716 UNITED STATES",N/A,21901 BELSHIRE AVENUE,,HAWAIIAN GARDENS,CA,90716,UNITED STATES,(213) 819-0772,33.82958,-118.073
008295,002724,4/30/2023 12:00:00 AM,"AIR 7 SEAS TRANSPORT LOGISTICS, INC.","1815 HOURET COURT MILPITAS, CA 95035 UNITED STATES",N/A,1815 HOURET COURT,,MILPITAS,CA,95035,UNITED STATES,(408) 957-8787,37.4055,-121.8973
022178,022178,8/31/2022 12:00:00 AM,"AIR SEA EXPRESS, INC.","315 HARBOR WAY SOUTH SAN FRANCISCO, CA 94080 UNITED STATES",N/A,315 HARBOR WAY,,SOUTH SAN FRANCISCO,CA,94080,UNITED STATES,(650) 871-2883,37.64584,-122.3986
016162,016162,2/28/2024 12:00:00 AM,"AIRLIFT (U.S.A.), INC.","11099 S. LA CIENEGA BLVD. SUITE 151 LOS ANGELES, CA 90045 UNITED STATES",AIRLIFT CONTAINER LINE,11099 S. LA CIENEGA BLVD.,SUITE 151,LOS ANGELES,CA,90045,UNITED STATES,(310) 256-3066,33.93471,-118.3702
006323,000903,3/31/2025 12:00:00 AM,"AIR-SEA FORWARDERS, INC.","9009 LA CIENEGA BLVD. INGLEWOOD, CA 90301-4459 UNITED STATES",ASF CONTAINER LINE,9009 LA CIENEGA BLVD.,,INGLEWOOD,CA,90301-4459,UNITED STATES,(310) 216-1616,33.95448,-118.3706
020841,020841,1/31/2024 12:00:00 AM,"ALL LOGISTICS CARGO, INC.","2300-2320 NORTH ALAMEDA STREET COMPTON, CA 90222 UNITED STATES","ACL USA, ALCUSA, TRANSPORTATION SERVICES & LOGISTICS",2300-2320 NORTH ALAMEDA STREET,,COMPTON,CA,90222,UNITED STATES,(310) 609-0144,33.91304,-118.2219
024646,019872,2/28/2025 12:00:00 AM,"ALLEN LUND COMPANY, LLC","4529 ANGELES CREST HIGHWAY SUITE 300 LA CANADA, CA 91011 UNITED STATES",N/A,4529 ANGELES CREST HIGHWAY,SUITE 300,LA CANADA,CA,91011,UNITED STATES,(800) 644-5863,34.20547,-118.2007
031105,028831,1/31/2023 12:00:00 AM,ALLIANCE GLOBAL LOGISTICS CONSULTING,"17107 KINGSVIEW AVE CARSON, CA 90746 UNITED STATES",N/A,17107 KINGSVIEW AVE,,CARSON,CA,90746,UNITED STATES,(310) 200-0009,33.85844,-118.2554
029326,029326,6/30/2023 12:00:00 AM,"ALLIANCE GLOBAL LOGISTICS, INC.","690 KNOX STREET 215 TORRANCE, CA 90502 UNITED STATES",N/A,690 KNOX STREET,215,TORRANCE,CA,90502,UNITED STATES,(310) 819-8606,33.82856,-118.292
026764,026764,4/30/2024 12:00:00 AM,"ALLIANCE INTERNATIONAL LOGISTICS SERVICES, INC.","1815 MONTEREY HWY SAN JOSE, CA 95112 UNITED STATES",N/A,1815 MONTEREY HWY,,SAN JOSE,CA,95112,UNITED STATES,(650) 244-9472,37.34139,-121.8804
007811,003347,7/31/2024 12:00:00 AM,"ALLIANCE SHIPPERS, INC.","180 E. OCEAN BLVD SUITE 100 LONG BEACH, CA 90802 UNITED STATES",ALLIANCE INTERNATIONAL,180 E. OCEAN BLVD,SUITE 100,LONG BEACH,CA,90802,UNITED STATES,(562) 240-2200,33.75488,-118.1072
021703,021703,3/31/2025 12:00:00 AM,"ALLSTATE INT'L FREIGHT USA, INC.","1250 WEST ARTESIA BLVD. COMPTON, CA 90220 UNITED STATES",A.I.F. COMPANY,1250 WEST ARTESIA BLVD.,,COMPTON,CA,90220,UNITED STATES,(310) 323-0700,33.87462,-118.2755
023580,023580,10/31/2022 12:00:00 AM,"ALPHA MARINE, INC.","7375 GREENBUSH AVENUE NORTH HOLLYWOOD, CA 91605 UNITED STATES",N/A,7375 GREENBUSH AVENUE,,NORTH HOLLYWOOD,CA,91605,UNITED STATES,(818) 759-4808,34.20463,-118.4267
008556,003736,6/30/2023 12:00:00 AM,ALPINE EXPRESS CORPORATION,"750 S. GLASGOW AVENUE 2ND FLOOR INGLEWOOD, CA 90301 UNITED STATES",N/A,750 S. GLASGOW AVENUE,2ND FLOOR,INGLEWOOD,CA,90301,UNITED STATES,(310) 645-6688,33.95354,-118.3718
021873,021873,3/31/2025 12:00:00 AM,"ALPS LOGISTICS (USA), INC.","2150 195TH STREET TORRANCE, CA 90501 UNITED STATES",N/A,2150 195TH STREET,,TORRANCE,CA,90501,UNITED STATES,(310) 618-1220,33.82705,-118.311
023495,023495,5/31/2025 12:00:00 AM,AMADA SHIPPING INC.,"17890 CASTLETON STREET SUITE 104 CITY OF INDUSTRY, CA 91748 UNITED STATES",N/A,17890 CASTLETON STREET,SUITE 104,CITY OF INDUSTRY,CA,91748,UNITED STATES,626 965 1515,33.99252,-117.9128
